	lhs		rhs	support	confidence	lift
148	{fema, tornado, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
149	{fema, shelter, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
150	{fema, shelter, tornado, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
151	{fema, shelter, texas, tornado}	=>	{txwx}	0.01589404	1.0000000	14.803922
152	{shelter, texas, tornado, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
153	{fema, texas, tornado, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
154	{fema, shelter, texas, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
155	{fema, shelter, tornado, tx}	=>	{texas}	0.01589404	1.0000000	8.206522
156	{fema, shelter, texas, tornado}	=>	{tx}	0.01589404	1.0000000	8.483146
157	{shelter, texas, tornado, tx}	=>	{fema}	0.01589404	1.0000000	30.200000
158	{fema, texas, tornado, tx}	=>	{shelter}	0.01589404	1.0000000	53.928571
159	{fema, shelter, texas, tx}	=>	{tornado}	0.01589404	1.0000000	62.916667
160	{shelter, tornado, tx, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
161	{shelter, texas, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
162	{shelter, texas, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
163	{texas, tornado, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
164	{shelter, texas, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
165	{fema, tornado, tx, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
166	{fema, texas, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
167	{fema, texas, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
168	{texas, tornado, tx, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
169	{fema, texas, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
170	{fema, shelter, tx, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
171	{fema, shelter, texas, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
172	{fema, shelter, texas, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
173	{shelter, texas, tx, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
174	{fema, texas, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
175	{fema, shelter, tornado, tx, txwx}	=>	{texas}	0.01589404	1.0000000	8.206522
176	{fema, shelter, texas, tornado, txwx}	=>	{tx}	0.01589404	1.0000000	8.483146
177	{fema, shelter, texas, tornado, tx}	=>	{txwx}	0.01589404	1.0000000	14.803922
178	{shelter, texas, tornado, tx, txwx}	=>	{fema}	0.01589404	1.0000000	30.200000
179	{fema, texas, tornado, tx, txwx}	=>	{shelter}	0.01589404	1.0000000	53.928571
180	{fema, shelter, texas, tx, txwx}	=>	{tornado}	0.01589404	1.0000000	62.916667
