,Weighted_Density,Standard_Population_Density,Later_Count_After_First_Hitting_5_Deaths_In_A_Day,Later_Count_After_First_Hitting_5_Deaths_Total,Log_Weighted_Density,Log_Standard_Population_Density,Log_Later_Count_After_First_Hitting_5_Deaths_In_A_Day,Log_Later_Count_After_First_Hitting_5_Deaths_Total,Later_Count,Log_Later_Count
ID,163.71256780039062,51.77891564857857,18.0,13,5.0981122547984645,3.9469830325934656,2.8903717578961645,2.5649493574615367,18.0,2.8903717578961645
IL,1031.6384694638448,625.0517340899765,99.0,65,6.93890356437805,6.43783442085474,4.59511985013459,4.174387269895637,99.0,4.59511985013459
IN,260.4944881460446,491.32647188783153,65.0,31,5.562581702221183,6.197108819033522,4.174387269895637,3.4339872044851463,65.0,4.174387269895637
IA,92.056109235471,148.17455018006623,29.0,25,4.522398274140239,4.998390971934968,3.367295829986474,3.2188758248682006,29.0,3.367295829986474
KS,181.0010144418621,94.6836990092277,38.0,5,5.198502635901292,4.550541852421154,3.6375861597263857,1.6094379124341003,38.0,3.6375861597263857
KY,222.48118366835484,298.3588575228075,45.0,9,5.404842530247564,5.698296981889416,3.8066624897703196,2.1972245773362196,45.0,3.8066624897703196
LA,237.65567996681833,285.2623103183256,137.0,119,5.470822903329079,5.653409144054016,4.919980925828125,4.77912349311153,137.0,4.919980925828125
ME,62.30281331261897,116.46749621321182,19.0,14,4.132006582279761,4.757612231615626,2.9444389791664403,2.6390573296152584,19.0,2.9444389791664403
MD,731.5580428675565,1624.3616259645214,124.0,31,6.5951765650465,7.392870172019511,4.820281565605037,3.4339872044851463,124.0,4.820281565605037
MA,1052.9495512360238,2289.703593703594,153.0,99,6.959350601428843,7.736177653106912,5.030437921392435,4.59511985013459,153.0,5.030437921392435
MI,401.68725246511997,473.2523235565268,337.0,184,5.995673806893866,6.159628699864018,5.820082930352362,5.214935757608986,337.0,5.820082930352362
MN,411.9165746802802,181.54327165522324,39.0,24,6.020820840205837,5.201494036612986,3.6635616461296463,3.1780538303479458,39.0,3.6635616461296463
MS,67.17331805371323,171.35351474109487,43.0,29,4.2072761159106555,5.143728760167995,3.7612001156935624,3.367295829986474,43.0,3.7612001156935624
MO,323.84542959030045,236.00462817344416,24.0,14,5.780266332792889,5.463851415737743,3.1780538303479458,2.6390573296152584,24.0,3.1780538303479458
MT,11.102394994974045,18.545845469835157,7.0,6,2.407160850357278,2.9202458000794986,1.9459101490553132,1.791759469228055,7.0,1.9459101490553132
NE,258.0778256210098,64.75013318322996,17.0,14,5.5532611891283326,4.170535757461392,2.833213344056216,2.6390573296152584,17.0,2.833213344056216
NV,89.40908564147978,67.32717386716936,46.0,15,4.493222306114908,4.209563927328542,3.828641396489095,2.70805020110221,46.0,3.828641396489095
NH,123.88350579760905,398.3832751110536,23.0,9,4.819341654652976,5.987414544686315,3.1354942159291497,2.1972245773362196,23.0,3.1354942159291497
NJ,2505.1655488716565,3246.01648553578,161.0,62,7.826110098709206,8.085183826784924,5.081404364984463,4.127134385045092,161.0,5.081404364984463
NM,82.24583409950729,45.970413259443404,20.0,13,4.409712739116653,3.827997999541562,2.995732273553991,2.5649493574615367,20.0,2.995732273553991
NY,6385.930715053322,1118.0710651580819,385.0,385,8.761852523709658,7.0193602162370174,5.953243334287785,5.953243334287785,385.0,5.953243334287785
NC,256.53930661353274,535.9519059720458,65.0,33,5.547281895028466,6.28404442938094,4.174387269895637,3.4965075614664802,65.0,4.174387269895637
ND,16.97237081469422,27.11312678010867,13.0,6,2.831586775716427,3.300017993639905,2.5649493574615367,1.791759469228055,13.0,2.5649493574615367
OH,410.6796564351632,763.8985155297697,81.0,65,6.017813485854889,6.638434947267209,4.394449154672439,4.174387269895637,81.0,4.394449154672439
OK,188.54430231938272,149.00739614994933,46.0,30,5.2393330048409,5.003995943303769,3.828641396489095,3.4011973816621555,46.0,3.828641396489095
OR,234.90764982345357,108.89857124469043,22.0,13,5.459192457432824,4.6904169099693815,3.091042453358316,2.5649493574615367,22.0,3.091042453358316
PA,828.1028187923539,768.5688496155606,90.0,63,6.71913732396135,6.6445301485760995,4.499809670330265,4.143134726391533,90.0,4.499809670330265
RI,487.18222506046726,2753.696788648245,49.0,43,6.188638231864099,7.920699574697263,3.8918202981106265,3.7612001156935624,49.0,3.8918202981106265
SC,125.07985522870216,420.56999370641046,40.0,18,4.828952375159343,6.041610919084126,3.6888794541139363,2.8903717578961645,40.0,3.6888794541139363
SD,29.43826802632098,29.425673542144132,7.0,2,3.382295461502402,3.3818675430167064,1.9459101490553132,0.6931471805599453,7.0,1.9459101490553132
TN,211.1079474220693,419.4808891552276,65.0,43,5.352369601810562,6.039017968624556,4.174387269895637,3.7612001156935624,65.0,4.174387269895637
TX,505.2076219564502,265.25908419759764,70.0,34,6.2249694773705455,5.580707024589455,4.248495242049359,3.5263605246161616,70.0,4.248495242049359
UT,312.4644230872701,92.41014387880725,18.0,8,5.744490616574759,4.526236754860183,2.8903717578961645,2.0794415416798357,18.0,2.8903717578961645
VT,47.79703802262462,183.51614930250093,17.0,16,3.866963671523557,5.212302670720325,2.833213344056216,2.772588722239781,17.0,2.833213344056216
VA,694.5298100469338,553.9817557856452,41.0,22,6.543235084306973,6.317131754410156,3.713572066704308,3.091042453358316,41.0,3.713572066704308
WA,227.00505631752122,277.1797651624748,40.0,35,5.424972291759854,5.62466626740195,3.6888794541139363,3.5553480614894135,40.0,3.6888794541139363
WV,63.512097990076796,208.10316580735315,26.0,8,4.151230407280874,5.3380339461976325,3.258096538021482,2.0794415416798357,26.0,3.258096538021482
WI,375.50975536410846,284.6795847948213,56.0,16,5.92828445053146,5.651364283932119,4.02535169073515,2.772588722239781,56.0,4.02535169073515
WY,4.862317915538243,15.832584403706207,,7,1.5815152615674808,2.7620701204352116,,1.9459101490553132,7.0,1.9459101490553132
PR,,,33.0,18,,,3.4965075614664802,2.8903717578961645,33.0,3.4965075614664802
GU,,,,4,,,,1.3862943611198906,,
MP,,,,2,,,,0.6931471805599453,,
VI,,,,3,,,,1.0986122886681098,,
